userID,username,retweet user,utc off,profile created,favorites,followers,following,tweets,date,tweetID,retweetID,retweet count,text,day,year,month,day,hour,min,sec,url,lat,lon
'449546303,b'marquitos0305',,,Thu Dec 29 06:57:54 +0000 2011,185,160,401,1197,Tue Aug 02 04:09:08 +0000 2016,'760326543822336000,,0,watching the 4th season of @eastloshighshow on @hulu with @mdbweho1970. love me some #skonkas and #bombsquad @iamjorgediaz,Tue,2016,Aug,02,04,09,08,http://twitter.com/b'marquitos0305'/status/760326543822336000,,
'2244778825,b'officialcharlyr',,-5.0,Sat Dec 14 01:14:52 +0000 2013,2331,949,996,9182,Tue Aug 02 04:29:52 +0000 2016,'760331759405834240,,0,done with all seasons of @eastloshighshow  [emoj_confounded]  now what am i gonna watch?,Tue,2016,Aug,02,04,29,52,http://twitter.com/b'officialcharlyr'/status/760331759405834240,,
'2755115710,b'DriRivera',,,Fri Aug 29 21:22:51 +0000 2014,1846,350,713,3625,Tue Aug 02 05:12:32 +0000 2016,'760342496744386560,,0,stuck on @eastloshighshow like i literally can't stop watching it  [emoj_eyes] ,Tue,2016,Aug,02,05,12,32,http://twitter.com/b'DriRivera'/status/760342496744386560,,
'89606925,b'cydneyschlong15',,-5.0,Fri Nov 13 02:37:36 +0000 2009,22968,803,956,13998,Tue Aug 02 05:20:12 +0000 2016,'760344427701342208,,0,season 4 of @eastloshighshow  [emoj_raised_hands]   [emoj_rowboat_type_4]  [emoj_raised_hands]   [emoj_rowboat_type_4]  [emoj_clap]   [emoj_rowboat_type_4]  [emoj_clap]   [emoj_rowboat_type_4] #yay,Tue,2016,Aug,02,05,20,12,http://twitter.com/b'cydneyschlong15'/status/760344427701342208,,
'89606925,b'cydneyschlong15',,-5.0,Fri Nov 13 02:37:36 +0000 2009,22968,803,957,13999,Tue Aug 02 05:23:43 +0000 2016,'760345311634219008,,0,ily @pardojd @eastloshighshow  [emoj_heart_eyes] ,Tue,2016,Aug,02,05,23,43,http://twitter.com/b'cydneyschlong15'/status/760345311634219008,,
'325366944,b'gaabii_cerna',,-5.0,Tue Jun 28 05:19:49 +0000 2011,1135,532,512,15481,Tue Aug 02 05:29:33 +0000 2016,'760346781087592449,,0,you're free now ... @eastloshighshow #nooocamilanooo https://t.co/vr2jdq63br,Tue,2016,Aug,02,05,29,33,http://twitter.com/b'gaabii_cerna'/status/760346781087592449,,
'753288343874437120,b'candace_atwell',,,Wed Jul 13 18:01:51 +0000 2016,14,3,69,4,Tue Aug 02 06:24:02 +0000 2016,'760360492326002688,,0,can't sleep so im gonna watch @eastloshighshow season 4 again! love this show & @gabeiswitit @themsdaniv are my favs  [emoj_heart]+[emoj_heart]  can't wait till #5  [emoj_heart]   [emoj_grinning] ,Tue,2016,Aug,02,06,24,02,http://twitter.com/b'candace_atwell'/status/760360492326002688,,
'365221007,b'BushFtToubia',,-7.0,Wed Aug 31 02:00:19 +0000 2011,8054,3458,540,38121,Tue Aug 02 06:28:38 +0000 2016,'760361649366716416,,0,i totally recommend to watch @eastloshighshow with @gabeiswitit @missalexrod @carlitosway89 and more it's so addictive #eastloshigh  [emoj_heart]+[emoj_heart] ,Tue,2016,Aug,02,06,28,38,http://twitter.com/b'BushFtToubia'/status/760361649366716416,,
'109267701,b'TheMsDaniV',candace_atwell,-7.0,Thu Jan 28 14:01:20 +0000 2010,10894,4166,289,7943,Tue Aug 02 07:07:24 +0000 2016,'760371405024137216,'760360492326002688,1,rt @candace_atwell: can't sleep so im gonna watch @eastloshighshow season 4 again! love this show & @gabeiswitit @themsdaniv are my favs  [emoj_heart]+[emoj_heart]   [...] ,Tue,2016,Aug,02,07,07,24,http://twitter.com/b'TheMsDaniV'/status/760371405024137216,,
'636046017,b'Yamila_Quinn',PrinceRoyce,-3.0,Sun Jul 15 06:47:36 +0000 2012,9271,1455,1792,15474,Tue Aug 02 07:32:31 +0000 2016,'760377726800957440,'758368944956776448,470,rt @princeroyce: ya puedes ver todos los episodios de #eastloscuatro @eastloshighshow s\\xf3lo en @hulu : https://t.co/sxksfwq7xa,Tue,2016,Aug,02,07,32,31,http://twitter.com/b'Yamila_Quinn'/status/760377726800957440,,
'4834548073,b'MarascoTheresa',CalEndow,,Sat Jan 30 09:58:02 +0000 2016,381,50,219,343,Tue Aug 02 08:01:55 +0000 2016,'760385124999364608,'760266600918290432,1,rt @calendow: what's this phone call about? find out tomorrow on @eastloshighshow & follow thru oct for exclusive #getloud content https://  [...] ,Tue,2016,Aug,02,08,01,55,http://twitter.com/b'MarascoTheresa'/status/760385124999364608,,
'369217188,b'BreeSkee14',,-5.0,Wed Sep 07 00:00:44 +0000 2011,716,531,673,14036,Tue Aug 02 12:56:11 +0000 2016,'760459176791244800,,0,@hollywoodlife @eastloshighshow #eastloscuatro,Tue,2016,Aug,02,12,56,11,http://twitter.com/b'BreeSkee14'/status/760459176791244800,,
'44561423,b'msarlenneee_xo',,-7.0,Thu Jun 04 06:31:00 +0000 2009,310,254,435,13988,Tue Aug 02 14:12:11 +0000 2016,'760478306240040961,,0,when you finish season 4 of @eastloshighshow & you realize there is no word on season 5  [emoj_scream] ,Tue,2016,Aug,02,14,12,11,http://twitter.com/b'msarlenneee_xo'/status/760478306240040961,,
'2996068379,b'BigBritBaby',aleanos3,-7.0,Sat Jan 24 16:02:49 +0000 2015,1386,669,430,17188,Tue Aug 02 14:22:33 +0000 2016,'760480914111692800,'757099044506337281,1,rt @aleanos3: at 10:30 i told myself i would watch one episode of @eastloshighshow i'm now 5 deep.  [emoj_cold_sweat]  #obsessed,Tue,2016,Aug,02,14,22,33,http://twitter.com/b'BigBritBaby'/status/760480914111692800,,
'540628815,b'iamjorgediaz',,,Fri Mar 30 05:09:48 +0000 2012,3371,5507,369,2536,Tue Aug 02 14:33:37 +0000 2016,'760483699661996032,,0,@marquitos0305 @eastloshighshow @hulu @mdbweho1970 \\u0001f64c!!,Tue,2016,Aug,02,14,33,37,http://twitter.com/b'iamjorgediaz'/status/760483699661996032,,
